event,manifold_id,poly_condition_id,manifold_yes,poly_yes,total,arb_gap,status
US x Iran permanent peace deal by May 31? [Polymarket],ghI9lZO0CP,0x0e4a0c937b8934c2475613b6322b3f8edc8dedc24762e01e42b0e6f87424a089,0.43,0.445,0.875,0.125,ARB_OPPORTUNITY
Strait of Hormuz traffic returns to normal by end of June? [Polymarket],RcNs5ch6qU,0x348cd9adf4f6855f58bd9c6dbf9ff251c4142ef77233a5dc95c65b4b61cd2187,0.58,0.615,1.195,-0.195,OVER_ROUND
US x Iran permanent peace deal by June 30? [Polymarket],pLOp6I9sCg,0x6114a8a3f9ac214f48a7e20d169f1c7a5c84082cb6f7058ed9fe1137b11fd0e7,0.56,0.565,1.125,-0.125,OVER_ROUND
Strait of Hormuz traffic returns to normal by end of May? [Polymarket],2ItEg96spt,0x518a5b030b205706b8ffe6bbad9bd3de59548348e5c0471827f5de21e513333c,0.1,0.0915,0.1915,0.8085,ARB_OPPORTUNITY
Will China invade Taiwan before 2030?,0vYAkKrceyAHaSvNpRQq,0x7b49b9bacb5f435bc10f3b100ff59e2fdd346f7f92a9001881bc9825a0af0f11,0.3423,0.505,0.8473,0.1527,ARB_OPPORTUNITY
Will Alexandria Ocasio-Cortez be elected U.S. president in 2028?,0YGFa2CB67sTx8ZRBKrD,0xf232b565995e4b3a3e7fa6cef775eeff1cecd20ad7c013cb9fc8dadabfe279a9,0.0647,0.0515,0.1162,0.8838,ARB_OPPORTUNITY
Will Republicans win the Senate in the 2026 elections?,BpoEJNtlQoDBpfjBmK0y,0xaed6455cc597aac64c06e4e85506a0efdbc1fe0d37824e77a29b09559214ada1,0.496,0.037,0.533,0.467,ARB_OPPORTUNITY
Will a Democrat win the 2028 Presidential Election?,u5gs9sl60R,0xb106a3c9d1c59ed8117493dae6459a3ff79369a8f7cddaf62f4a05828b89195e,0.6026,0.605,1.2076,-0.2076,OVER_ROUND
Will the US invade Iran before the end of 2026?,q2CZUhn500,0x5db999fad322cea2914535aae5517060c3f80ad6d8c0231cde2124a434d16846,0.2072,0.185,0.3922,0.6078,ARB_OPPORTUNITY
Will the Oklahoma City Thunder win the 2026 NBA Championship?,cUgQuN092h,0x22e7b5e35423e76842dd3a5e1a21d13793811080d5e7b2896d0c001bd5e97d54,0.63,0.615,1.245,-0.245,OVER_ROUND
